time;TAmb;T1;T2
4333;18.36;29.31;21.44
4339;18.85;29.31;21.5
4345;18.36;29.31;21.5
4351;18.36;29.31;21.5
4357;18.36;29.31;21.5
4363;18.85;29.31;21.5
4368;18.85;29.31;21.5
4374;18.85;29.31;21.5
4380;18.36;29.31;21.5
4386;18.36;29.31;21.5
4392;18.85;29.31;21.5
4397;18.36;29.31;21.5
4403;18.36;29.31;21.5
4409;18.85;29.31;21.5
4415;18.85;29.37;21.5
4421;18.85;29.37;21.5
4427;18.36;29.37;21.5
4432;18.36;29.31;21.5
4438;18.85;29.37;21.5
4444;18.36;29.37;21.5
4450;18.36;29.31;21.5
4456;18.36;29.31;21.5
4462;18.85;29.37;21.5
4467;18.85;29.37;21.5
4473;18.36;29.37;21.5
4479;18.85;29.37;21.5
4485;18.36;29.37;21.5
4491;18.36;29.37;21.5
4496;18.36;29.37;21.5
4502;18.85;29.31;21.5
4508;18.85;29.37;21.5
4514;18.36;29.31;21.5
4520;18.36;29.31;21.5
4526;18.85;29.31;21.5
4531;18.36;29.31;21.5
4537;18.36;29.31;21.5
4543;18.85;29.31;21.5
4549;18.85;29.31;21.5
4555;18.85;29.31;21.5
4561;18.85;29.25;21.5
4566;18.36;29.25;21.5
4572;18.36;29.19;21.56
4578;18.85;29.19;21.5
4584;18.36;29.19;21.5
4590;18.85;29.19;21.5
4596;18.36;29.12;21.56
4601;18.85;29.19;21.56
4607;18.36;29.19;21.5
4613;18.36;29.19;21.56
4619;18.36;29.12;21.56
4625;18.85;29.12;21.56
4630;18.85;29.12;21.56
4636;18.36;29.12;21.5
4642;18.36;29.12;21.56
4648;18.85;29.12;21.56
4654;18.85;29.19;21.56
4660;18.36;29.19;21.56
4665;18.36;29.12;21.56
4671;18.85;29.19;21.56
4677;18.85;29.19;21.56
4683;18.36;29.19;21.56
4689;18.36;29.19;21.56
4695;18.85;29.19;21.56
4700;18.36;29.19;21.56
4706;18.85;29.19;21.56
4712;18.36;29.19;21.56
4718;18.85;29.19;21.56
4724;18.36;29.19;21.56
4729;18.85;29.19;21.56
4735;18.36;29.19;21.56
4741;18.36;29.19;21.56
4747;18.85;29.19;21.56
4753;18.36;29.19;21.56
4759;18.85;29.19;21.56
4764;18.85;29.19;21.56
4770;18.36;29.19;21.56
4776;18.36;29.12;21.56
4782;18.85;29.12;21.56
4788;18.36;29.12;21.56
4794;18.85;29.12;21.56
4799;18.85;29.12;21.56
4805;18.85;29.12;21.56
4811;18.36;29.12;21.56
4817;18.36;29.12;21.56
4823;18.85;29.12;21.56
4829;18.36;29.12;21.56
4834;18.85;29.12;21.56
4840;18.85;29.19;21.56
4846;18.85;29.19;21.56
4852;18.85;29.19;21.56
4858;18.85;29.19;21.56
4863;18.85;29.25;21.56
4869;18.85;29.25;21.56
4875;18.85;29.25;21.62
4881;18.36;29.25;21.56
4887;18.36;29.25;21.56
4893;18.85;29.25;21.62
4898;18.85;29.25;21.62
4904;18.85;29.25;21.62
4910;18.85;29.25;21.62
4916;18.36;29.19;21.62
4922;18.85;29.19;21.62
4928;18.36;29.19;21.62
4933;18.36;29.19;21.62
4939;18.85;29.19;21.62
4945;18.36;29.19;21.62
4951;18.36;29.25;21.62
4957;18.85;29.25;21.62
4962;18.85;29.25;21.62
4968;18.85;29.25;21.62
4974;18.85;29.25;21.62
4980;18.85;29.25;21.62
4986;18.36;29.19;21.62
4992;18.36;29.19;21.62
4997;18.36;29.19;21.62
5003;18.36;29.19;21.62
5009;18.85;29.19;21.62
5015;18.36;29.19;21.62
5021;18.36;29.19;21.62
5027;18.36;29.19;21.62
5032;18.85;29.19;21.62
5038;18.85;29.25;21.62
5044;18.85;29.25;21.62
5050;18.85;29.19;21.62
5056;18.85;29.25;21.62
5062;18.85;29.25;21.62
5067;18.85;29.19;21.62
5073;18.85;29.19;21.62
5079;18.85;29.19;21.62
5085;18.85;29.19;21.62
5091;18.36;29.19;21.62
5096;18.36;29.19;21.62
5102;18.85;29.25;21.62
5108;18.36;29.19;21.62
5114;18.36;29.19;21.62
5120;18.36;29.19;21.62
5126;18.85;29.19;21.62
5131;18.85;29.19;21.62
5137;18.36;29.19;21.62
5143;18.85;29.19;21.62
5149;18.85;29.19;21.69
5155;18.85;29.19;21.62
5161;18.36;29.25;21.69
5166;18.36;29.25;21.69
5172;18.85;29.25;21.62
5178;18.36;29.25;21.69
5184;18.85;29.25;21.69
5190;18.36;29.25;21.62
5195;18.36;29.25;21.69
5201;18.85;29.25;21.69
5207;18.85;29.25;21.62
5213;18.36;29.25;21.69
5219;18.85;29.31;21.69
5225;18.36;29.31;21.69
5230;18.85;29.31;21.69
5236;18.85;29.31;21.69
5242;18.36;29.25;21.69
5248;18.85;29.25;21.69
5254;18.85;29.25;21.69
5260;18.36;29.25;21.69
5265;18.36;29.31;21.69
5271;18.85;29.31;21.69
5277;18.85;29.31;21.69
5283;18.85;29.31;21.69
5289;18.85;29.31;21.69
5295;18.85;29.31;21.69
5300;18.85;29.31;21.69
5306;18.85;29.25;21.69
5312;18.85;29.25;21.69
5318;18.36;29.25;21.69
5324;18.85;29.25;21.69
5329;18.85;29.25;21.69
5335;18.85;29.25;21.69
5341;18.36;29.25;21.69
5347;18.85;29.25;21.69
5353;18.36;29.25;21.69
5359;18.85;29.25;21.69
5364;18.36;29.25;21.69
5370;18.36;29.25;21.69
5376;18.36;29.25;21.69
5382;18.36;29.19;21.69
5388;18.36;29.19;21.69
5394;18.36;29.19;21.69
5399;18.36;29.19;21.69
5405;18.85;29.19;21.69
5411;18.36;29.25;21.69
5417;18.36;29.25;21.69
5423;18.36;29.25;21.69
5428;18.85;29.25;21.69
5434;19.34;29.25;21.75
5440;18.85;29.25;21.69
5446;18.85;29.25;21.75
5452;18.85;29.25;21.75
5458;18.85;29.25;21.75
5463;18.85;29.25;21.75
5469;18.85;29.25;21.75
5475;18.36;29.25;21.75
5481;18.85;29.31;21.75
5487;18.85;29.31;21.75
5493;18.36;29.31;21.75
5498;18.85;29.31;21.75
5504;18.36;29.31;21.75
5510;18.85;29.31;21.75
5516;18.85;29.31;21.75
5522;18.85;29.31;21.75
5528;18.85;29.25;21.75
5533;18.36;29.31;21.75
5539;18.85;29.31;21.75
5545;18.85;29.25;21.75
5551;18.85;29.25;21.75
5557;18.36;29.25;21.75
5562;18.85;29.25;21.75
5568;18.85;29.25;21.75
5574;18.85;29.25;21.75
5580;18.36;29.25;21.75
5586;18.85;29.25;21.75
5592;18.85;29.19;21.75
5597;18.85;29.12;21.75
5603;18.85;29.19;21.75
